filename,label
0_France_road_sign_B14_(30).png,VP0
1_France_road_sign_B14_(130).png,VP1
2_France_road_sign_B14_(130).png,VP2
3_France_road_sign_B14_(80).png,VP3
4_France_road_sign_B14_(15).png,VP4
5_France_road_sign_B14_(45).png,VP5
6_France_road_sign_B14_(80).png,VP6
7_France_road_sign_B14_(15).png,VP7
8_France_road_sign_B14_(10).png,VP8
9_France_road_sign_B14_(40).png,VP9
10_France_road_sign_B14_(80).png,VP10
11_France_road_sign_B14_(70).png,VP11
12_France_road_sign_B14_(30).png,VP12
13_France_road_sign_B14_(5).png,VP13
14_France_road_sign_B14_(5).png,VP14
15_France_road_sign_B14_(90).png,VP15
16_France_road_sign_B14_(20).png,VP16
17_France_road_sign_B14_(130).png,VP17
18_France_road_sign_B14_(70).png,VP18
19_France_road_sign_B14_(45).png,VP19
20_France_road_sign_B14_(5).png,VP20
21_France_road_sign_B14_(130).png,VP21
22_France_road_sign_B14_(80).png,VP22
23_France_road_sign_B14_(50).png,VP23
24_France_road_sign_B14_(80).png,VP24
25_France_road_sign_B14_(5).png,VP25
26_France_road_sign_B14_(20).png,VP26
27_France_road_sign_B14_(80).png,VP27
28_France_road_sign_B14_(15).png,VP28
29_France_road_sign_B14_(30).png,VP29
30_France_road_sign_B14_(80).png,VP30
31_France_road_sign_B14_(10).png,VP31
32_France_road_sign_B14_(45).png,VP32
33_France_road_sign_B14_(15).png,VP33
34_France_road_sign_B14_(60).png,VP34
35_France_road_sign_B14_(30).png,VP35
36_France_road_sign_B14_(30).png,VP36
37_France_road_sign_B14_(50).png,VP37
38_France_road_sign_B14_(15).png,VP38
39_France_road_sign_B14_(60).png,VP39
40_France_road_sign_B14_(90).png,VP40
41_France_road_sign_B14_(15).png,VP41
42_France_road_sign_B14_(110).png,VP42
43_France_road_sign_B14_(30).png,VP43
44_France_road_sign_B14_(5).png,VP44
45_France_road_sign_B14_(15).png,VP45
46_France_road_sign_B14_(80).png,VP46
47_France_road_sign_B14_(60).png,VP47
48_France_road_sign_B14_(80).png,VP48
49_France_road_sign_B14_(5).png,VP49
50_France_road_sign_B14_(80).png,VP50
51_France_road_sign_B14_(30).png,VP51
52_France_road_sign_B14_(5).png,VP52
53_France_road_sign_B14_(30).png,VP53
54_France_road_sign_B14_(40).png,VP54
55_France_road_sign_B14_(50).png,VP55
56_France_road_sign_B14_(130).png,VP56
57_France_road_sign_B14_(110).png,VP57
58_France_road_sign_B14_(50).png,VP58
59_France_road_sign_B14_(40).png,VP59
60_France_road_sign_B14_(45).png,VP60
61_France_road_sign_B14_(90).png,VP61
62_France_road_sign_B14_(110).png,VP62
63_France_road_sign_B14_(80).png,VP63
64_France_road_sign_B14_(60).png,VP64
65_France_road_sign_B14_(70).png,VP65
66_France_road_sign_B14_(10).png,VP66
67_France_road_sign_B14_(40).png,VP67
68_France_road_sign_B14_(10).png,VP68
69_France_road_sign_B14_(40).png,VP69
70_France_road_sign_B14_(50).png,VP70
71_France_road_sign_B14_(5).png,VP71
72_France_road_sign_B14_(20).png,VP72
73_France_road_sign_B14_(10).png,VP73
74_France_road_sign_B14_(80).png,VP74
75_France_road_sign_B14_(130).png,VP75
76_France_road_sign_B14_(45).png,VP76
77_France_road_sign_B14_(70).png,VP77
78_France_road_sign_B14_(130).png,VP78
79_France_road_sign_B14_(20).png,VP79
80_France_road_sign_B14_(110).png,VP80
81_France_road_sign_B14_(40).png,VP81
82_France_road_sign_B14_(90).png,VP82
83_France_road_sign_B14_(80).png,VP83
84_France_road_sign_B14_(70).png,VP84
85_France_road_sign_B14_(40).png,VP85
86_France_road_sign_B14_(80).png,VP86
87_France_road_sign_B14_(60).png,VP87
88_France_road_sign_B14_(80).png,VP88
89_France_road_sign_B14_(50).png,VP89
90_France_road_sign_B14_(5).png,VP90
91_France_road_sign_B14_(110).png,VP91
